youtubeId,title,channel,bpm,key
fEtNBhrwQCk,MARK DINING - &quot;Teen Angel&quot; - 45 RPM Collectables Record,ThisGuyFritz,96,C#m
1p40e2Zs5EM,50 Cent - In Da Club,16CoolDude16,89,G#m
AodGQmEtY8c,Arabian Chopped-Vinyl Beat by Damon Cisneros,Damon Cisneros,66,F#m
XdWsglRdtS4,SINED IN TRYPLYKIT #2 - locked groove vinyl sound mixing,Igor Amokian,123,Bm
KkPjNt3G5zA,I Like My Ice Cream Cone - 45 rpm record,howlinwlf,112,G#m
GqGCEdEPK0A,JEFF Le hamac French acid-folk mellow psych,goldenpavilion,103,Em
j56trgAXzx0,Marnie / Songs Hurt Me (Instrumental),Vinyle Archéologie,129,Gm
LEhKUY57Tbw,Ultimate Breaks & Beats / Funky Worm (Instrumental),Vinyle Archéologie,,
gLHkQO8lYKc,"The Institutional Radio Choir of Brooklyn, N.Y. / Give Him Your Life",Vinyle Archéologie,,
B1HIfTTKP7U,Mary Watkins / A Chording to the People,Vinyle Archéologie,,
CswURmtJcmI,Modern Sound Quartet / Narcisso,Vinyle Archéologie,108,A#m
68Qr-saW4jk,Soul Mann & The Brothers / Bumpy's Lament,Vinyle Archéologie,,
saIrkYHAKOs,Christopher Gunning / Black Magic Theme Music,Vinyle Archéologie,,
zCJ5-CHWBCI,Valérie Lagrange / Si Ma Chanson Pouvait,Vinyle Archéologie,,
7qitV2ekWLA,Don Harper / Soft Shadows,Vinyle Archéologie,,
LWrkOYPsNNA,Gospel Clouds / Let Us Pray,Vinyle Archéologie,,
U9E6QA62LvA,Florian Poser's Lifeline / Funkturm,Vinyle Archéologie,,
-swmUMeP5qk,Мелодия / Мелодия,Vinyle Archéologie,,
i9HFKbZ3JZ0,Steven Halpern / Blues for Arcturus,Vinyle Archéologie,,
rz-zRvolF0E,The Joe Dunlap Trio / Killing Me Softly with His Song,Vinyle Archéologie,,
z1crzANonL8,International Studio Orchestra / Girl in the Dark,Vinyle Archéologie,,
bAyM2y5LqY8,Col Nolan & The Soul Syndicate / Ode to Billy Joe,Vinyle Archéologie,,
ESVZTHcALH4,The Fountain of Life Joy Choir / Thank You,Vinyle Archéologie,,
uolvNd2E_8U,Jack Mayborn / Disco People,Vinyle Archéologie,,
W2RoX0VrQm0,The Film Sounds Orchestra / Violent City,Vinyle Archéologie,,
I3BT62NW_mI,Noco Music / Eclipse,Vinyle Archéologie,136,Gm
D5Hyj872wVI,Elder Jeffrey Roberson + The New Life Singers / We Need Love,Vinyle Archéologie,,
m5nWyR-K76E,Terje Rypdal / Sonority,Vinyle Archéologie,,
4HPH0zq3Du4,The Airmen of Note / Visions,Vinyle Archéologie,,
LI215XQrz1A,Footprint / Funk Junk,Vinyle Archéologie,,
snDiuKPDrR8,Junior Mance / I Believe to My Soul,Vinyle Archéologie,,
mayhI9GmyVo,Art Jerry Miller / Inner Soul,Vinyle Archéologie,,
NS5DB6MCp-E,Giorgio Carnini / Beat Requiem,Vinyle Archéologie,,
Dk-f3jsUFI4,"The Howard Lemon Singers / Stop, Look, Listen to Your Heart",Vinyle Archéologie,,
rNNtseAPHo8,Michael Wynn / A Song for You,Vinyle Archéologie,129,Gm
99TYbfikteU,Toni van Duyne / Cosmic Blues,Vinyle Archéologie,,
1E0sssfw9Io,BAZAAR / Kinddans,Vinyle Archéologie,,
x5StGlWgNTY,AUDIO DIRECTIONS / We Can Fly,Vinyle Archéologie,,
kgRMYDuapTI,Disconnection / Love Lady,Vinyle Archéologie,,
syrUlEUx-Xk,Martin Böttcher und Sein Orchester / Stranger's Serenade,Vinyle Archéologie,,
N9GQHVgWik0,Fritz Dautel Quintett with Strings / Nightly,Vinyle Archéologie,,
8wkC5HuSBqY,Francis Lai + United Artist Studio Orchestra / Thème de la Leçon Particulière,Vinyle Archéologie,,
